,NUTS_code,lat,lng
394,DE712,50.122,8.63292
395,DE713,50.099549999999994,8.77731
396,DE714,50.070499999999996,8.2491
397,DE715,49.6288,8.628245
398,DE716,49.86005,8.785615
399,DE717,49.895250000000004,8.454180000000001
400,DE718,50.28725,8.513285
401,DE719,50.2595,9.263265
402,DE71A,50.100750000000005,8.458945
403,DE71B,49.628699999999995,8.974070000000001
404,DE71C,50.042500000000004,8.82007
405,DE71D,50.13305,8.090645
406,DE71E,50.3308,8.900435
407,DE72,50.623099999999994,8.806645
408,DE721,50.5603,8.82659
409,DE722,50.6307,8.38816
410,DE723,50.4383,8.219385
411,DE724,50.834149999999994,8.752185
412,DE725,50.61105,9.28005
413,DE73,51.003249999999994,9.356945
414,DE731,51.30665,9.462729999999999
415,DE732,50.57915,9.752565
416,DE733,50.90935,9.75248
417,DE734,51.410399999999996,9.427265
418,DE735,51.02485,9.376065
419,DE736,51.22255,8.849635
420,DE737,51.2017,9.93598
421,DE8,53.999849999999995,13.9885
422,DE80,53.999849999999995,13.9885
423,DE803,54.152150000000006,12.1461
424,DE804,53.61255,11.40295
425,DE80J,53.58495,13.035599999999999
426,DE80K,53.921350000000004,12.1667
427,DE80L,54.45,13.42125
428,DE80M,53.79755,11.28365
429,DE80N,53.999849999999995,13.9885
430,DE80O,53.44665,11.4634
431,DE9,52.5918,9.147835
432,DE91,52.05865,10.25176
433,DE911,52.265550000000005,10.53365
434,DE912,52.12755,10.37045
435,DE913,52.388,10.7686
436,DE914,52.573,10.64125
437,DE915,51.47395,9.961345
438,DE916,51.8421,10.38345
439,DE917,52.2599,10.8478
440,DE918,51.7547,9.788910000000001
441,DE919,51.6747,10.415500000000002
442,DE91A,52.3156,10.21405
443,DE91B,52.0886,10.259699999999999
444,DE92,52.34595,9.294654999999999
445,DE922,52.750550000000004,8.706605
446,DE923,52.0985,9.409015
447,DE925,52.095,9.943375
448,DE926,51.8457,9.601569999999999
449,DE927,52.644800000000004,9.118835
450,DE928,52.276250000000005,9.205925
451,DE929,52.395700000000005,9.76515
452,DE93,53.196349999999995,10.040575
453,DE931,52.72345,10.085115
454,DE932,53.58195,8.890965000000001
455,DE933,53.31715,10.01595
456,DE934,53.05115000000001,11.1763
457,DE935,53.21905,10.60725
458,DE936,53.25765,8.778390000000002
459,DE937,53.2549,9.32854
460,DE938,52.9289,9.78135
461,DE939,53.608850000000004,9.389050000000001
462,DE93A,52.999849999999995,10.5247
463,DE93B,52.97305,9.185275
464,DE94,52.8838,7.704645
465,DE941,53.054500000000004,8.644875
466,DE942,53.365899999999996,7.153385
467,DE943,53.13595,8.220175000000001
468,DE944,52.2987,8.055935
469,DE945,53.572050000000004,8.07878
470,DE946,53.2068,8.003015
471,DE947,53.5126,7.407465
472,DE948,52.93235,7.935365000000001
473,DE949,52.696799999999996,7.419130000000001
474,DE94A,53.5076,8.002725
475,DE94B,52.4401,7.007675000000001
476,DE94C,53.2168,7.539055
477,DE94D,52.97705,8.37243
478,DE94E,52.3705,8.06227
479,DE94F,52.659000000000006,8.2451
480,DE94G,53.35665,8.41441
481,DE94H,53.5416,7.69364
482,DEA,51.411699999999996,7.6683699999999995
483,DEA1,51.45795,6.6299399999999995
484,DEA11,51.2375,6.816325
485,DEA12,51.4332,6.72973
486,DEA13,51.4506,7.017975
487,DEA14,51.3464,6.593885
488,DEA15,51.15775,6.40706
489,DEA16,51.4118,6.884644999999999
490,DEA17,51.51745,6.8560099999999995
491,DEA18,51.17555,7.21649
492,DEA19,51.16275,7.082034999999999
493,DEA1A,51.2392,7.16083
494,DEA1B,51.6329,6.234915
495,DEA1C,51.2226,6.98356
496,DEA1D,51.1759,6.663775000000001
497,DEA1E,51.2984,6.34905
498,DEA1F,51.602199999999996,6.632529999999999
499,DEA2,50.780950000000004,6.831495
500,DEA22,50.698949999999996,7.118875
501,DEA23,50.962599999999995,6.967455000000001
502,DEA24,51.05515,7.007219999999999
503,DEA26,50.8262,6.450385000000001
504,DEA27,50.891549999999995,6.744485000000001
505,DEA28,50.554,6.6217299999999994
506,DEA29,51.0488,6.16815
507,DEA2A,51.029650000000004,7.5270399999999995
508,DEA2B,51.0106,7.194535
509,DEA2C,50.7542,7.266495
510,DEA2D,50.72355,6.217445
511,DEA3,51.97765,7.355479999999999
512,DEA31,51.56675,6.9159
513,DEA32,51.552049999999994,7.066360000000001
514,DEA33,51.9375,7.62459
515,DEA34,51.9946,6.829265
516,DEA35,51.8615,7.395764999999999
517,DEA36,51.671949999999995,7.183755
518,DEA37,52.23685,7.558065
519,DEA38,51.8792,7.966685
520,DEA4,51.97155,8.767565000000001
521,DEA41,52.01405,8.515979999999999
522,DEA42,51.917249999999996,8.411935
523,DEA43,52.1639,8.668855
524,DEA44,51.676249999999996,9.18252
525,DEA45,51.99215,8.975745
526,DEA46,52.331450000000004,8.71459
527,DEA47,51.65305,8.710135000000001
528,DEA5,51.211600000000004,8.037424999999999
529,DEA51,51.4728,7.226195
530,DEA52,51.5078,7.474045
531,DEA53,51.3414,7.482505
532,DEA54,51.658,7.836535
533,DEA55,51.5292,7.216575
534,DEA56,51.34855,7.31746
535,DEA57,51.3172,8.417209999999999
536,DEA58,51.27575,7.686589999999999
537,DEA59,51.08625,7.97746
538,DEA5A,50.89505,8.18917
539,DEA5B,51.557100000000005,8.206575
540,DEA5C,51.560050000000004,7.624215
541,DEB,49.95325,7.30708
542,DEB1,50.24425,7.455359999999999
543,DEB11,50.334950000000006,7.587625
544,DEB12,50.4782,7.051935
545,DEB13,50.756550000000004,7.74023
546,DEB14,49.8256,7.68115
547,DEB15,49.716750000000005,7.275365000000001
548,DEB16,50.12305,7.17029
549,DEB17,50.31875,7.324195
550,DEB18,50.56175,7.458315
551,DEB19,50.05795,7.48376
552,DEB1A,50.23635,7.850020000000001
553,DEB1B,50.5492,7.874969999999999
554,DEB2,49.9561,6.690315
555,DEB21,49.78425,6.650355
556,DEB22,49.88775,6.98222
557,DEB23,50.0723,6.414395
558,DEB24,50.234300000000005,6.726895000000001
